,"All people","All people","All people","All people","All people","All people","All people","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Africa","Africa","Africa","Africa","Africa","Africa","Africa","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other"
,"All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated"
"S00135346",136,64,64,3,5,-,2,132,64,64,3,1,-,2,131,64,64,3,1,-,1,7,6,-,-,1,-,-,-,-,-,-,-,-,-,124,58,64,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-
"S00135347",91,74,7,-,2,6,-,91,74,7,-,2,6,-,88,72,7,-,2,5,-,7,5,-,-,2,-,-,-,-,-,-,-,-,-,81,70,7,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135348",130,60,49,3,2,7,12,122,57,49,4,2,4,12,121,57,49,4,2,4,12,3,1,-,-,-,-,-,-,-,-,-,-,-,-,118,56,47,4,2,4,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,4,-,-,-,-,4,-,1,1,-,-,-,-,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-
"S00135349",127,86,35,4,2,4,2,121,78,35,4,2,4,2,119,76,35,4,2,4,2,6,5,-,-,1,-,-,3,3,-,-,-,-,-,110,65,35,4,-,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135350",131,99,3,9,7,6,6,120,96,3,8,5,1,6,110,90,3,6,5,1,5,13,8,-,2,3,-,2,1,-,-,1,-,-,-,96,82,3,4,2,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,-,1,-,-,2,3,-,-,1,2,-,-,5,2,-,-,-,3,-,2,-,-,-,-,2,-,1,1,-,-,-,-,-
"S00135351",224,155,22,5,18,7,13,202,155,22,5,5,5,11,201,154,22,2,5,4,11,9,8,2,1,-,-,-,-,-,-,-,-,-,-,192,151,21,2,5,4,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,3,-,1,-,11,-,-,-,11,-,-,8,-,-,-,-,7,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00135352",161,84,45,13,8,-,12,156,83,43,12,6,-,12,147,83,43,8,6,-,11,19,14,1,1,4,-,1,-,-,-,-,-,-,-,133,69,42,4,2,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,4,-,-,1,2,2,-,-,-,-,-,1,-,-,1,-,-,-,3,-,2,-,-,-,-,-,-,-,-,-,-,-
"S00135353",206,118,35,10,22,14,11,185,114,35,10,14,4,10,180,113,34,5,14,4,10,10,4,4,-,-,-,1,4,-,-,4,-,-,-,166,107,31,3,12,4,9,2,-,-,-,2,-,-,-,-,-,-,-,-,-,5,1,1,3,-,-,-,6,-,-,-,4,-,1,15,3,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135354",105,81,6,9,-,3,3,98,80,6,9,-,2,3,93,79,6,5,-,2,3,4,4,-,-,-,-,1,-,-,-,-,-,-,-,90,77,6,5,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,6,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"S00135355",124,84,15,5,8,8,-,114,81,15,5,5,1,-,111,85,15,4,6,1,-,10,5,2,1,3,-,-,-,-,-,-,-,-,-,101,77,16,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,1,1,-,-,5,-,-,-,5,-,-,5,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135356",126,96,12,7,3,7,1,121,96,12,7,3,4,1,116,93,11,3,2,2,1,11,10,1,-,2,-,-,-,-,-,-,-,-,-,101,85,13,3,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,3,1,4,1,2,-,-,-,-,-,-,-,-,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135357",228,152,24,28,3,19,5,202,147,22,17,2,8,5,196,147,22,17,2,6,5,16,10,2,5,2,-,-,-,-,-,-,-,-,-,179,137,20,11,-,6,5,1,-,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,3,-,2,-,3,-,-,1,-,2,-,21,3,2,5,1,8,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-
"S00135358",137,82,7,10,18,13,2,109,76,8,8,9,4,2,100,72,8,5,8,4,2,11,7,-,-,4,-,-,3,2,-,-,1,-,-,87,63,8,5,3,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,-,3,1,-,-,9,-,-,-,9,-,-,14,2,-,-,-,9,-,3,-,2,2,-,-,-,1,1,-,-,-,-,-
"S00135359",123,52,51,7,5,-,7,118,50,51,7,2,-,7,114,50,51,5,2,-,7,7,1,3,2,-,-,1,-,-,-,-,-,-,-,107,47,48,3,2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,1,1,-,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00135360",129,71,28,5,12,-,9,114,70,27,1,6,-,9,110,67,27,1,6,-,8,19,18,1,1,1,-,1,-,-,-,-,-,-,-,91,53,26,-,1,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,-,-,-,1,5,-,-,-,5,-,-,3,-,1,-,-,-,-,4,-,-,3,-,-,-,-,-,-,-,-,-,-
"S00135361",117,70,32,2,5,-,8,116,69,32,2,5,-,8,109,65,31,-,5,-,7,7,4,1,-,2,-,2,-,-,-,-,-,-,-,102,63,30,-,3,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,4,2,2,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135362",132,71,44,4,7,2,6,127,69,44,4,3,2,6,115,62,44,1,1,2,6,5,3,1,-,-,-,-,-,-,-,-,-,-,-,109,58,40,1,1,2,5,-,-,-,-,-,-,-,1,1,-,-,-,-,-,12,7,-,2,2,-,-,3,1,-,-,-,-,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00135363",174,102,7,10,14,30,11,143,101,7,10,9,10,6,131,98,7,4,9,10,6,2,1,-,-,-,1,-,-,-,-,-,-,-,-,132,97,7,4,9,9,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,3,-,6,-,-,-,16,-,-,-,3,13,-,14,1,-,-,3,6,3,1,-,-,-,-,1,-,-,-,-,-,-,-,-
"S00135364",165,70,70,6,5,10,3,158,69,70,6,5,4,3,155,69,70,3,5,4,3,10,6,2,-,2,1,-,-,-,-,-,-,-,-,145,63,69,3,4,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135365",119,47,46,5,8,6,4,109,47,46,2,8,2,4,104,47,46,2,4,2,4,11,6,1,-,4,-,1,-,-,-,-,-,-,-,93,41,45,2,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-,-,-,-,-,-,-,7,-,-,-,-,7,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-
"S00135366",112,63,22,5,13,-,9,103,54,22,5,13,-,9,95,54,21,3,13,-,8,20,12,2,1,6,-,-,-,1,-,-,-,-,1,76,41,20,2,7,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,2,-,-,1,5,5,-,-,-,-,-,3,3,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00135367",82,38,34,1,2,-,7,78,37,33,1,2,-,5,75,35,33,1,-,-,5,2,1,2,-,-,-,-,-,-,-,-,-,-,-,73,34,32,1,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,4,1,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135368",131,88,18,4,12,7,2,114,85,12,4,11,1,2,113,84,12,4,11,1,2,11,10,-,-,-,-,1,-,-,-,-,-,-,-,102,74,12,4,11,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,12,-,4,-,2,6,-,8,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135369",128,87,9,5,7,11,8,108,81,8,5,7,1,5,106,80,8,5,7,1,4,10,2,1,2,4,-,2,-,-,-,-,-,-,-,96,78,7,5,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,1,4,-,-,-,-,4,-,12,2,1,-,-,6,5,4,4,-,-,-,-,-,-,-,-,-,-,-,-
"S00135370",72,49,9,1,2,2,7,68,49,9,1,1,2,7,66,49,9,1,1,2,4,8,6,-,1,-,-,3,1,-,-,-,-,-,1,55,43,9,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135371",149,109,23,-,7,5,1,144,109,23,1,5,3,1,141,106,24,1,5,3,1,7,4,4,-,1,2,-,-,-,-,-,-,-,-,134,104,22,1,7,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,1,-,-,-,-,2,-,-,-,2,-,-,3,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135372",152,108,7,6,13,6,12,146,102,7,6,13,4,12,131,96,7,4,8,-,12,21,18,-,-,2,-,-,-,-,-,-,-,-,-,109,78,7,4,7,-,12,1,-,-,-,1,-,-,-,-,-,-,-,-,-,15,8,-,2,2,4,-,-,-,-,-,-,-,-,6,4,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135373",226,155,44,8,5,9,10,220,150,44,8,5,5,8,213,148,44,4,5,5,7,9,6,-,1,1,-,-,-,-,-,-,-,-,-,203,141,44,3,4,4,7,1,1,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,4,-,-,1,-,-,-,-,-,-,-,5,2,-,-,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00135374",141,99,21,9,8,4,3,137,99,22,9,4,-,3,126,95,22,8,3,-,1,8,4,-,1,2,-,1,-,-,-,-,-,-,-,117,90,22,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,4,-,5,2,-,-,2,-,1,-,2,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135375",98,67,12,18,-,-,-,92,62,10,17,-,-,-,75,56,10,9,-,-,-,9,4,1,1,-,-,-,2,2,-,-,-,-,-,73,55,11,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,4,-,8,-,-,-,-,-,-,-,-,-,-,3,3,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00135376",75,48,14,4,2,5,4,68,47,14,4,-,1,4,67,47,14,1,-,1,4,3,3,-,-,-,-,-,1,1,-,-,-,-,-,63,42,14,1,-,1,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2,-,-,-,2,-,-,5,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135377",119,77,13,8,12,1,11,111,73,13,5,12,-,11,107,71,13,4,11,-,11,10,8,-,-,-,-,1,-,-,-,-,-,-,-,97,63,11,4,11,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,-,1,-,-,-,-,-,-,-,-,-,-,7,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135378",127,77,20,12,6,4,9,117,71,18,12,3,4,8,103,70,18,6,2,2,6,5,2,1,-,-,-,-,-,-,-,-,-,-,-,97,68,17,6,2,1,4,1,-,-,-,-,1,-,-,-,-,-,-,-,-,12,1,-,6,1,1,4,4,1,1,-,-,-,-,5,5,-,-,-,-,1,4,2,2,-,-,-,-,2,-,-,-,2,-,-
"S00135379",60,22,17,2,7,2,10,58,22,17,2,6,1,10,53,22,17,-,6,1,7,5,-,-,-,6,-,-,1,-,1,-,-,-,-,45,22,17,-,2,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,2,-,-,2,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135380",132,76,30,5,6,-,8,127,76,30,4,6,-,8,125,75,32,4,6,-,8,12,9,2,1,2,-,2,-,-,-,-,-,-,-,113,69,27,5,7,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,4,3,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00135381",133,85,9,24,8,1,7,116,81,8,21,3,1,5,106,80,8,11,3,1,3,10,9,-,-,-,-,1,-,-,-,-,-,-,-,96,74,8,11,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,1,-,7,-,-,2,3,-,-,2,3,-,-,12,2,-,4,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,-
"S00135382",101,68,17,-,3,7,2,100,68,17,-,3,6,2,94,66,17,-,3,5,-,3,-,2,-,-,1,-,1,-,1,-,-,-,-,90,63,16,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,2,-,-,-,1,3,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135383",153,51,23,8,26,34,11,106,45,13,2,16,19,10,95,43,13,2,11,18,5,14,4,1,2,2,4,1,-,-,-,-,-,-,-,80,38,15,-,9,14,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,2,-,1,5,1,1,28,6,6,6,10,-,-,18,-,-,-,-,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135384",61,49,8,-,1,-,3,56,44,8,-,1,-,3,55,43,8,-,1,-,3,4,4,-,-,-,-,-,-,-,-,-,-,-,-,53,40,8,-,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00135385",90,65,5,6,2,4,10,84,64,5,5,2,4,9,80,64,5,3,2,4,7,4,3,-,-,1,-,-,-,-,-,-,-,-,-,80,58,5,3,1,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4,-,-,-,-,-,-,-,2,-,-,2,-,-,-,5,4,-,-,-,-,1,-,-,-,-,-,-,-
"S00135386",113,72,23,8,2,-,5,110,71,23,1,2,-,5,108,71,23,1,4,-,4,5,4,-,1,-,-,-,-,-,-,-,-,-,-,103,67,23,2,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,2,2,-,-,-,-,-
"S00135387",171,99,46,3,13,-,10,167,98,42,3,11,-,10,162,94,42,3,11,-,10,9,7,-,1,1,-,-,-,-,-,-,-,-,-,152,87,42,-,10,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,4,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135388",200,118,28,25,10,14,5,180,112,28,24,3,8,5,162,105,28,15,3,8,2,8,3,1,2,-,-,1,1,-,-,-,-,-,1,153,98,26,13,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,7,-,9,1,-,1,10,-,-,-,4,6,-,6,4,-,-,2,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-
"S00135389",132,72,40,5,15,-,5,121,74,40,4,5,-,2,120,69,40,4,6,-,2,6,5,-,1,-,-,1,-,-,-,-,-,-,-,114,65,40,3,6,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,3,-,-,-,3,-,-,3,1,-,2,-,-,1,3,-,-,-,3,-,-,2,2,-,-,-,-,-
"S00135390",85,66,12,2,1,8,-,84,65,11,2,1,5,-,84,65,11,2,1,5,-,6,1,-,1,-,-,-,1,1,-,-,-,-,-,77,61,11,1,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,3,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00135391",203,131,25,7,6,12,16,184,126,25,7,6,2,16,175,123,23,6,4,2,14,13,8,1,3,-,-,-,-,-,-,-,-,-,-,159,115,22,3,2,2,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,5,2,1,2,-,2,4,-,-,1,-,1,4,14,2,-,2,2,9,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00135392",70,48,12,4,1,-,1,70,48,12,4,1,-,1,63,51,12,-,1,-,1,8,4,-,-,1,-,-,1,1,-,-,-,-,-,57,43,12,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135393",207,159,6,14,12,2,12,199,159,6,12,6,2,12,180,152,6,8,3,2,9,15,10,2,1,-,1,-,3,1,-,1,-,-,-,162,140,4,5,3,-,9,1,1,-,-,-,-,-,-,-,-,-,-,-,-,19,10,-,5,1,-,3,3,-,-,-,3,-,-,3,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135394",152,95,32,9,6,5,5,146,94,32,8,4,3,5,136,90,32,6,4,3,5,7,3,-,1,3,-,-,-,-,-,-,-,-,-,133,87,32,5,1,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,-,2,-,-,-,2,-,-,-,2,-,-,5,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135395",79,39,21,-,-,13,7,68,35,19,-,-,4,7,67,37,19,-,-,4,7,2,1,2,-,-,-,-,-,-,-,-,-,-,-,65,36,18,-,-,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,5,-,-,-,-,5,-,5,-,-,-,-,4,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
"S00135396",133,95,30,6,4,-,2,128,91,30,4,4,-,2,127,91,30,3,4,-,2,10,6,1,2,2,-,-,-,-,-,-,-,-,-,117,85,29,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,3,2,-,1,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135397",121,91,9,2,12,11,2,111,91,9,2,7,2,2,105,91,9,2,4,2,2,11,9,1,-,-,-,-,-,-,-,-,-,-,-,96,76,8,2,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,5,-,-,-,2,3,-,6,-,-,-,1,5,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-
"S00135398",129,98,9,4,6,4,1,101,84,9,5,-,2,1,101,82,9,5,1,2,1,6,5,1,-,-,-,-,3,-,1,1,-,-,-,89,74,7,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,1,-,-,4,-,-,-,-,2,-,20,20,-,-,-,-,-,4,1,-,1,2,-,-,-,-,-,-,-,-,-
"S00135399",243,120,54,3,13,30,24,213,118,54,3,9,13,18,207,114,54,-,9,11,18,11,6,-,-,-,-,2,-,-,-,-,-,-,-,198,110,54,-,8,11,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,1,-,2,-,9,1,-,-,4,2,2,21,4,-,-,-,15,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135400",162,106,38,10,3,2,2,155,102,36,10,1,1,2,152,101,36,8,1,1,2,17,17,-,-,1,-,1,-,-,-,-,-,-,-,133,86,36,8,-,1,2,1,1,-,-,-,-,-,1,1,-,-,-,-,-,3,1,-,2,-,-,-,1,2,-,-,1,-,-,1,-,1,-,-,-,-,3,2,-,-,-,1,-,-,-,-,-,-,-,-
"S00135401",99,63,18,2,6,3,4,93,63,18,2,9,1,3,90,63,16,1,9,1,3,13,6,-,-,3,-,2,-,-,-,-,-,-,-,83,57,16,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-,-,3,-,-,-,3,-,-,2,-,-,-,-,2,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-
"S00135402",80,46,20,1,5,-,8,78,44,20,1,5,-,8,75,41,20,-,5,-,8,6,3,2,-,1,-,-,-,-,-,-,-,-,-,67,37,19,-,4,-,7,2,2,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,1,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135403",131,81,15,3,7,14,11,117,79,15,3,6,5,11,114,76,15,3,6,5,9,6,5,-,-,1,-,-,-,-,-,-,-,-,-,108,71,15,3,5,5,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,2,2,-,-,-,2,-,-,12,3,-,-,-,9,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00135404",86,72,5,4,1,1,1,75,65,5,1,1,-,1,74,65,5,1,1,-,2,6,5,-,-,1,-,-,-,-,-,-,-,-,-,68,60,5,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,8,7,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00135405",188,117,32,-,18,11,11,171,110,29,-,13,7,7,166,110,29,-,13,7,6,18,11,3,-,4,-,-,-,-,-,-,-,-,-,147,98,27,-,7,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,1,7,-,2,-,6,1,-,10,6,2,-,-,3,1,1,1,-,-,-,-,-,1,-,1,-,-,-,-
"S00135406",172,106,49,2,1,4,8,161,102,49,3,1,1,5,150,96,49,2,1,1,5,7,3,1,-,1,-,3,-,-,-,-,-,-,-,147,94,48,2,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,-,2,-,-,-,1,-,-,-,-,1,-,7,-,-,-,-,2,3,4,2,-,1,-,-,-,-,-,-,-,-,-,-
"S00135407",153,93,32,3,17,4,6,140,84,32,3,12,4,2,135,84,32,3,7,4,2,10,6,2,1,-,1,-,-,-,-,-,-,-,-,124,82,30,2,6,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,5,-,-,4,-,-,-,1,-,3,6,5,-,-,1,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-
"S00135408",152,90,32,3,19,-,8,145,89,32,3,11,-,8,142,86,32,3,11,-,8,6,-,-,-,3,-,2,1,-,-,-,1,-,-,135,86,32,3,4,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,2,-,-,-,6,-,-,-,6,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135409",70,41,18,-,4,5,4,65,39,18,-,4,2,4,65,39,18,-,4,2,4,2,-,-,-,2,-,-,-,-,-,-,-,-,-,63,39,18,-,2,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135410",111,58,21,7,10,9,6,100,56,20,7,7,2,6,92,55,19,4,6,2,4,5,4,-,-,-,1,-,-,-,-,-,-,-,-,87,51,19,4,6,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,1,1,3,1,-,2,-,-,-,-,-,-,-,10,2,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135411",183,124,25,2,19,5,5,172,123,25,2,11,3,5,160,121,25,4,11,2,5,14,13,-,-,6,2,-,-,-,-,-,-,-,-,144,108,25,4,6,-,4,-,-,-,-,-,-,-,1,-,-,-,-,-,1,11,3,-,-,-,2,-,9,-,-,-,7,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
