SuperWEB2(tm)

"Census 2022-Person-2Fv1"
"Scotland's Census 2022 - National Records of Scotland Table UV606 - Occupation All people aged 16 and over in employment the week before the census"
"Intermediate Zone - Data Zone 2011 by Occupation (Grouped) by Economic activity"
"Counting: Individuals"

Filters:
"Default Summation","Individuals"
"Economic activity","1 - 13"

"Counting","Economic activity","Intermediate Zone - Data Zone 2011","Occupation (Grouped)","Count",
"Individuals","1 - 13","S01006513","Skilled Agriculture and related Trades",2
"Individuals","1 - 13","S01006513","Skilled Metal, Electrical and Electronic Trades",15
"Individuals","1 - 13","S01006513","Skilled Construction and Building Trades",9
"Individuals","1 - 13","S01006513","Textiles, Printing and Other Skilled Trades",1
"Individuals","1 - 13","S01006513","Caring, Leisure and Other Service Occupations - Total",19
"Individuals","1 - 13","S01006513","Caring Personal Service Occupations",16
"Individuals","1 - 13","S01006513","Leisure, Travel and Related Personal Service",3
"Individuals","1 - 13","S01006513","Community and Civil Enforcement Occupations",0
"Individuals","1 - 13","S01006513","Sales and Customer Service Occupations - Total",13
"Individuals","1 - 13","S01006513","Sales Occupations",10
"Individuals","1 - 13","S01006513","Customer Service Occupations",4
"Individuals","1 - 13","S01006513","Process, Plant and Machine Operatives - Total",13
"Individuals","1 - 13","S01006513","Process, Plant and Machine Operatives",9
"Individuals","1 - 13","S01006513","Transport and Mobile machine Drivers and Operatives",4
"Individuals","1 - 13","S01006513","Elementary Occupations - Total",12
"Individuals","1 - 13","S01006513","Elementary Trades and Related Occupations",3
"Individuals","1 - 13","S01006513","Elementary Administration and Service Occupations",13
"Individuals","1 - 13","S01006514","All people aged 16 and over in employment the week before the census",471
"Individuals","1 - 13","S01006514","Managers, Directors and Senior Officials - Total",63
"Individuals","1 - 13","S01006514","Corporate Managers and Directors",41
"Individuals","1 - 13","S01006514","Other Managers and Proprietors",22
"Individuals","1 - 13","S01006514","Professional Occupations - Total",159
"Individuals","1 - 13","S01006514","Science, Research, Engineering and Technology Professionals",46
"Individuals","1 - 13","S01006514","Health Professionals",34
"Individuals","1 - 13","S01006514","Teaching and Educational Professionals",27
"Individuals","1 - 13","S01006514","Business, Media and Public Service Professionals",53
"Individuals","1 - 13","S01006514","Associate Professional and Technical Occupations - Total",80
"Individuals","1 - 13","S01006514","Science, Engineering and Technology Associate Professionals",11
"Individuals","1 - 13","S01006514","Health and Social Care Associate Professionals",13
"Individuals","1 - 13","S01006514","Protective Service Occupations",6
"Individuals","1 - 13","S01006514","Culture, Media and Sports Occupations",13
"Individuals","1 - 13","S01006514","Business and Public Service Associate Professionals",36
"Individuals","1 - 13","S01006514","Administrative and Secretarial Occupations - Total",49
"Individuals","1 - 13","S01006514","Administrative Occupations",39
"Individuals","1 - 13","S01006514","Secretarial and related Occupations",13
"Individuals","1 - 13","S01006514","Skilled Trade Occupations - Total",33
"Individuals","1 - 13","S01006514","Skilled Agriculture and related Trades",7
"Individuals","1 - 13","S01006514","Skilled Metal, Electrical and Electronic Trades",10
"Individuals","1 - 13","S01006514","Skilled Construction and Building Trades",10
"Individuals","1 - 13","S01006514","Textiles, Printing and Other Skilled Trades",4
"Individuals","1 - 13","S01006514","Caring, Leisure and Other Service Occupations - Total",22
"Individuals","1 - 13","S01006514","Caring Personal Service Occupations",19
"Individuals","1 - 13","S01006514","Leisure, Travel and Related Personal Service",2
"Individuals","1 - 13","S01006514","Community and Civil Enforcement Occupations",0
"Individuals","1 - 13","S01006514","Sales and Customer Service Occupations - Total",18
"Individuals","1 - 13","S01006514","Sales Occupations",14
"Individuals","1 - 13","S01006514","Customer Service Occupations",4
"Individuals","1 - 13","S01006514","Process, Plant and Machine Operatives - Total",19
"Individuals","1 - 13","S01006514","Process, Plant and Machine Operatives",10
"Individuals","1 - 13","S01006514","Transport and Mobile machine Drivers and Operatives",7
"Individuals","1 - 13","S01006514","Elementary Occupations - Total",29
"Individuals","1 - 13","S01006514","Elementary Trades and Related Occupations",6
"Individuals","1 - 13","S01006514","Elementary Administration and Service Occupations",23
"Individuals","1 - 13","S01006515","All people aged 16 and over in employment the week before the census",353
"Individuals","1 - 13","S01006515","Managers, Directors and Senior Officials - Total",45
"Individuals","1 - 13","S01006515","Corporate Managers and Directors",31
"Individuals","1 - 13","S01006515","Other Managers and Proprietors",19
"Individuals","1 - 13","S01006515","Professional Occupations - Total",143
"Individuals","1 - 13","S01006515","Science, Research, Engineering and Technology Professionals",45
"Individuals","1 - 13","S01006515","Health Professionals",28
"Individuals","1 - 13","S01006515","Teaching and Educational Professionals",26
"Individuals","1 - 13","S01006515","Business, Media and Public Service Professionals",44
"Individuals","1 - 13","S01006515","Associate Professional and Technical Occupations - Total",59
"Individuals","1 - 13","S01006515","Science, Engineering and Technology Associate Professionals",9
"Individuals","1 - 13","S01006515","Health and Social Care Associate Professionals",8
"Individuals","1 - 13","S01006515","Protective Service Occupations",3
"Individuals","1 - 13","S01006515","Culture, Media and Sports Occupations",8
"Individuals","1 - 13","S01006515","Business and Public Service Associate Professionals",30
"Individuals","1 - 13","S01006515","Administrative and Secretarial Occupations - Total",35
"Individuals","1 - 13","S01006515","Administrative Occupations",29
"Individuals","1 - 13","S01006515","Secretarial and related Occupations",6
"Individuals","1 - 13","S01006515","Skilled Trade Occupations - Total",24
"Individuals","1 - 13","S01006515","Skilled Agriculture and related Trades",3
"Individuals","1 - 13","S01006515","Skilled Metal, Electrical and Electronic Trades",9
"Individuals","1 - 13","S01006515","Skilled Construction and Building Trades",8
"Individuals","1 - 13","S01006515","Textiles, Printing and Other Skilled Trades",5
"Individuals","1 - 13","S01006515","Caring, Leisure and Other Service Occupations - Total",19
"Individuals","1 - 13","S01006515","Caring Personal Service Occupations",8
"Individuals","1 - 13","S01006515","Leisure, Travel and Related Personal Service",7
"Individuals","1 - 13","S01006515","Community and Civil Enforcement Occupations",0
"Individuals","1 - 13","S01006515","Sales and Customer Service Occupations - Total",11
"Individuals","1 - 13","S01006515","Sales Occupations",10
"Individuals","1 - 13","S01006515","Customer Service Occupations",1
"Individuals","1 - 13","S01006515","Process, Plant and Machine Operatives - Total",8
"Individuals","1 - 13","S01006515","Process, Plant and Machine Operatives",5
"Individuals","1 - 13","S01006515","Transport and Mobile machine Drivers and Operatives",0
"Individuals","1 - 13","S01006515","Elementary Occupations - Total",18
"Individuals","1 - 13","S01006515","Elementary Trades and Related Occupations",4
"Individuals","1 - 13","S01006515","Elementary Administration and Service Occupations",10
"Individuals","1 - 13","S01006516","All people aged 16 and over in employment the week before the census",233
